index,year,region_id,region,crops_affected_by_disasters
1,2003,0,Nacional,14056
2,2003,1,Amazonas,32
3,2003,2,Ancash,0
4,2003,3,Apurimac,40
5,2003,4,Arequipa,430
6,2003,5,Ayacucho,143
7,2003,6,Cajamarca,6
8,2003,7,Callao,0
9,2003,8,Cusco,373
10,2003,9,Huancavelica,14
11,2003,10,Huanuco,431
12,2003,11,Ica,0
13,2003,12,Junin,12
14,2003,13,La Libertad,97
15,2003,14,Lambayeque,0
16,2003,15,Lima,0
17,2003,16,Loreto,2236
18,2003,17,Madre de Dios,2549
19,2003,18,Moquegua,3
20,2003,19,Pasco,0
21,2003,20,Piura,0
22,2003,21,Puno,5014
23,2003,22,San Martin,1358
24,2003,23,Tacna,5
25,2003,24,Tumbes,74
26,2003,25,Ucayali,1239
27,2004,0,Nacional,90274
28,2004,1,Amazonas,2022
29,2004,2,Ancash,319
30,2004,3,Apurimac,3868
31,2004,4,Arequipa,5202
32,2004,5,Ayacucho,4530
33,2004,6,Cajamarca,12763
34,2004,7,Callao,0
35,2004,8,Cusco,10
36,2004,9,Huancavelica,2116
37,2004,10,Huanuco,4102
38,2004,11,Ica,0
39,2004,12,Junin,1092
40,2004,13,La Libertad,1571
41,2004,14,Lambayeque,3495
42,2004,15,Lima,0
43,2004,16,Loreto,6553
44,2004,17,Madre de Dios,0
45,2004,18,Moquegua,142
46,2004,19,Pasco,1501
47,2004,20,Piura,27153
48,2004,21,Puno,8478
49,2004,22,San Martin,355
50,2004,23,Tacna,4434
51,2004,24,Tumbes,6
52,2004,25,Ucayali,562
53,2005,7,Callao,0
54,2006,7,Callao,0
55,2007,0,Nacional,5719
56,2007,1,Amazonas,59
57,2007,2,Ancash,0
58,2007,3,Apurimac,2
59,2007,4,Arequipa,0
60,2007,5,Ayacucho,0
61,2007,6,Cajamarca,0
62,2007,7,Callao,0
63,2007,8,Cusco,0
64,2007,9,Huancavelica,0
65,2007,10,Huanuco,0
66,2007,11,Ica,0
67,2007,12,Junin,25
68,2007,13,La Libertad,32
69,2007,14,Lambayeque,0
70,2007,15,Lima,13
71,2007,16,Loreto,57
72,2007,17,Madre de Dios,0
73,2007,18,Moquegua,0
74,2007,19,Pasco,3
75,2007,20,Piura,674
76,2007,21,Puno,4479
77,2007,22,San Martin,361
78,2007,23,Tacna,0
79,2007,24,Tumbes,0
80,2007,25,Ucayali,14
81,2008,0,Nacional,18098
82,2008,1,Amazonas,82
83,2008,2,Ancash,8
84,2008,3,Apurimac,4224
85,2008,4,Arequipa,35
86,2008,5,Ayacucho,1005
87,2008,6,Cajamarca,831
88,2008,7,Callao,0
89,2008,8,Cusco,0
90,2008,9,Huancavelica,41
91,2008,10,Huanuco,0
92,2008,11,Ica,44
93,2008,12,Junin,22
