category_region_id,producers_numerical,granted_loans_percent,requested_loans_percent,trained_percent,illiteracy_percent,education_primary_completed_percent,education_secondary_completed_percent,belongs_producers_association_percent,language_spanish_percent,language_quechua_percent,language_aymara_percent,language_amazonia_percent,employment_agriculture_percent
0,-862.86,-3.667208437,-3.972988997,-6.792915108,17.76189613,10.18992069,-9.26034515,-1.27625911,-5.47443056,5.08313495,1.722433639,-1.331138031,-5.35035864
1,-42.965,-3.374425042,-3.645249557,-5.940036662,14.05868667,9.41244009,-9.50832554,-0.68561987,-3.23365726,-0.008397363,-0.003057272,3.24511191,-14.61945063
2,-49.869,-1.697039272,-1.798955636,-4.247965358,20.03976533,11.93603006,-9.58891778,-5.94176754,-7.79014086,7.80205225,-0.0037512,-0.008160187,-3.79106881
3,-30.511,-3.917923181,-4.068902391,-7.350125469,28.34994963,15.75645798,-13.2996072,-3.48846151,-2.33079418,2.38197003,-0.008496769,-0.042679088,-9.75248477
4,-17.898,-8.158244397,-8.382766054,-10.15559365,9.73879632,12.44606928,-14.7009267,0.15385361,-2.31417418,2.8217551,-0.459060347,-0.048520573,-0.99411901
5,-31.627,-2.964950903,-3.271750638,-8.808111178,27.26997738,17.10594605,-14.7009267,2.52683777,-2.61015441,2.65410461,0.019692759,-0.063642954,-5.14937991
7,-97.933,-2.537314956,-2.732158227,-5.542271909,18.43125337,8.20166066,-7.41705473,-3.404902945,-0.0660202,0.078539845,-0.001432981,-0.01108667,-8.46510645
8,-70.125,-1.587919139,-1.859606881,-8.433500794,22.54017355,11.67380396,-10.72855395,1.08368422,0.5329304,0.19607234,-0.001432981,-0.727569765,-1.42598461
9,-29.036,-2.111527813,-2.361693768,-5.088576141,25.30135834,15.23406725,-14.34617567,-0.669999806,0.98126479,-0.95968201,0.009566865,-0.031149645,-1.44980704
10,-51.42,-2.64601475,-3.199753526,-5.001898975,20.22804225,8.66859636,-7.97440373,-2.112242414,-4.57266874,4.72665718,-0.00940884,-0.144579606,-9.8341151
11,-9.003,-9.403239767,-9.708288812,-13.66207066,2.877994547,10.11780142,-7.53868789,-0.75639729,1.59718826,-1.420032228,-0.023470967,-0.153685064,-2.91124917
12,-43.515,-5.751882418,-6.55744699,-10.03013357,9.47607876,9.42647905,-9.60932258,3.63500747,8.77300134,-3.89228645,-0.039458574,-4.841256332,-6.12413984
13,-53.197,-2.804416475,-2.836292278,-4.53061483,18.44426936,6.54498808,-6.63170034,-4.65180197,0.028212,-0.013071168,0.007993784,-0.023134642,-7.46158574
14,-22.928,-7.114829578,-7.392204871,-7.983881115,13.68722823,14.95288015,-12.41463518,3.79718766,3.51805418,-3.529724924,-0.01000834,0.02167909,-2.63901729
15,-27.842,-4.939791971,-5.21048791,-8.503785265,5.4855283,11.53430155,-10.71995952,-1.58455711,-0.44503944,0.392598038,0.046666203,0.005775192,-1.243903924
16,-50.838,-0.094227705,-0.121918481,-0.707702835,11.01818932,8.78249272,-8.30866376,-0.576787961,-2.94666794,0.65760552,0.003889867,2.28517257,-11.90144925
17,-3.061,-0.416570301,-0.059521783,-0.959322086,4.246849865,5.08557871,-7.03734141,-1.86886659,5.68138354,-3.35876608,0.218810057,-2.541427513,-14.51731661
18,-4.051,-2.039649375,-2.226638929,-6.6573475,8.944727872,8.72669216,-7.93146631,-0.21135345,1.55782514,-3.14365368,1.59418081,-0.008352276,-2.00266328
19,-15.723,-3.057774241,-3.391955205,-5.313433208,13.64048072,8.94501826,-9.50378314,-0.008018742,0.10108254,3.24745411,0.005967436,-3.354504089,-7.53005983
20,-76.034,-7.973415182,-8.133263251,-10.16461139,17.73506925,7.52350589,-7.70502281,-2.39543454,-0.0558529,0.045698486,-0.000647352,0.010801736,-20.64691252
21,-43.416,-0.809490227,-0.960336857,-4.387289628,19.29605157,17.42385052,-13.21213267,-2.019501563,-1.648594719,4.1058352,-2.43225969,-0.024980789,5.24231198
22,-66.149,-5.725498238,-6.209187527,-6.911313317,8.218321455,2.54100803,-4.4194305,-3.17567451,-1.89492234,0.367341967,0.003331301,1.524249079,-25.86143531
23,-3.965,-1.529414259,-1.662042609,-11.2721042,6.585149466,14.02651316,-10.38605614,-3.82960239,-1.05925909,0.19387989,0.90171268,-0.036333476,-1.4468955
24,-5.66,-7.762199984,-7.672169862,-6.38555139,1.527464579,6.56829578,-7.97825587,-3.68154162,-0.0166909,0.0,0.0,0.016690911,-12.71041463
25,-16.276,1.575376956,1.582302665,-0.261863432,4.922272563,5.75007387,-5.96552567,1.25576659,7.32732297,0.350741938,0.001032033,-7.67909695,-12.63856391
